country,model,first_registration,mileage,fuel_type,price
d,glc 250,12-2017,71726,b,37400
a,glc 220,11-2017,57238,d,32190
a,glc 220,10-2023,8000,d,82990
a,glc 220,10-2023,17250,d,69990
a,glc 300,03-2023,20500,2,65900
a,glc 220,07-2023,23000,d,63900
a,glc 300,03-2023,16060,3,69900
a,glc 220,07-2023,27200,d,72400
a,glc 300,03-2022,55000,2,57900
a,glc 220,10-2023,22850,d,66850
a,glc 300,08-2023,18950,d,84750
a,glc 220,10-2022,14900,d,62900
a,glc 220,04-2023,25000,d,69900
a,glc 220,11-2023,22200,d,79890
a,glc 220,06-2023,33794,d,72990
a,glc 220,09-2023,8000,d,75400
a,glc 220,03-2023,20300,d,73900
a,glc 300,01-2024,16000,2,73900
a,glc 300,10-2023,10100,2,76500
a,glc 220,03-2023,22000,d,68900
a,glc 220,07-2020,60537,d,43800
i,glc 300,01-2021,70000,d,38900
i,glc 220,01-2020,77000,d,40990
i,glc 220,06-2018,179586,d,22900
i,glc 220,12-2019,86400,d,35900
i,glc 220,06-2018,139000,d,28500
i,glc 250,02-2018,99714,d,29449
i,glc 220,04-2023,38469,3,58300
i,glc 220,10-2016,95386,d,23649
i,glc 200,04-2024,6000,2,63900
i,glc 220,07-2017,108817,d,26900
i,glc 43 amg,06-2019,79000,b,41999
i,glc 300,05-2021,40103,3,50500
i,glc 220,03-2023,40137,3,54900
i,glc 200,03-2022,35357,b,37999
i,glc 250,10-2018,113108,d,29900
i,glc 43 amg,03-2019,75243,b,42900
i,glc 63 amg,10-2018,51023,b,53800
i,glc 300,11-2020,95175,2,29900
i,glc 63 amg,10-2024,5500,b,135000
i,glc 220,02-2023,27600,3,53900
d,glc 300,07-2021,73720,2,42850
d,glc 250,01-2018,66118,b,33900
d,glc 220,05-2023,50569,d,49310
d,glc 43 amg,05-2024,6558,b,83900
d,glc 220,11-2022,21589,d,47810
d,glc 220,07-2020,38000,d,39480
d,glc 300,05-2021,98810,3,35440
d,glc 300,12-2022,31658,3,49879
d,glc 300,03-2023,33950,b,52750
d,glc 300,07-2020,97869,2,40450
d,glc 300,11-2021,43500,2,45980
d,glc 300,08-2020,61420,2,44850
d,glc 400,08-2020,67435,d,48790
d,glc 300,08-2021,58000,2,37900
d,glc 220,10-2024,9900,d,62477
